,epoch,steps,name,nalu,dist,param,extp,seed,op,trainloss,loss,reinits,exp
0,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.8,0.5,106,mul,6.09305E-07,8.46363E-07,0,ext
1,99,64000,nalu_minimal_arith,nalui1,normal,"(-3, 3)","(8, 10)",108,sub,5.88375E-15,1.51087E-13,1,ext
2,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-4, 2)","(8, 10)",108,div,2.97986E+01,3.25166E+00,9,ext
3,99,64000,nalu_minimal_arith,nalui1,exponential,0.2,0.5,103,div,1.41716E+02,1.11674E+05,9,ext
4,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-4, 2)","(8, 10)",108,add,2.37335E-02,3.98619E+03,0,ext
5,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-2, 4)","(8, 10)",108,div,3.96638E+02,1.18611E+01,9,ext
6,99,64000,nalu_minimal_arith,nalui2,exponential,0.8,0.5,100,sub,5.63972E-15,1.30732E-15,0,ext
7,99,64000,nalu_minimal_arith,nalui1,normal,"(-4, 2)","(8, 10)",102,div,3.51177E+01,9.33327E+01,9,ext
8,99,64000,nalu_minimal_arith,nalui2,uniform,"(-5, 5)","(-10, -5)",100,sub,2.55208E-14,8.58225E-14,0,ext
9,99,64000,nalu_minimal_arith,nalu__paperm,uniform,"(-5, 5)","(-10, -5)",109,div,2.23005E+01,6.28773E-02,9,ext
10,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-2, 4)","(8, 10)",105,div,6.11466E+02,6.89948E-01,9,ext
11,99,64000,nalu_minimal_arith,nalui1,normal,"(-3, 3)","(8, 10)",109,add,4.63827E-15,9.14667E-13,0,ext
12,99,64000,nalu_minimal_arith,nalui2,normal,"(-3, 3)","(8, 10)",101,add,4.13428E-15,8.98524E-13,0,ext
13,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.2,0.5,107,mul,2.73138E-07,3.02227E-07,0,ext
14,99,64000,nalu_minimal_arith,nalui2,normal,"(-3, 3)","(8, 10)",104,add,5.31286E-15,9.02276E-13,0,ext
15,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-2, 4)","(8, 10)",101,add,3.57168E-01,8.98524E-13,0,ext
16,99,64000,nalu_minimal_arith,nalui2,normal,"(-2, 4)","(8, 10)",105,div,6.19562E+02,1.85844E+02,9,ext
17,99,64000,nalu_minimal_arith,nalui2,normal,"(-2, 4)","(8, 10)",105,sub,3.86778E-15,1.51676E-13,0,ext
18,99,64000,nalu_minimal_arith,nalui1,normal,"(-2, 4)","(8, 10)",102,mul,1.40053E-14,2.70961E-10,0,ext
19,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-2, 4)","(8, 10)",103,mul,3.29304E-01,2.73060E-10,2,ext
20,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-3, 3)","(8, 10)",103,sub,6.93403E-01,5.18653E+01,0,ext
21,99,64000,nalu_minimal_arith,nalu__paperm,uniform,"(-5, 5)","(-10, -5)",101,add,4.28645E+00,1.96456E+01,1,ext
22,99,64000,nalu_minimal_arith,nalui1,uniform,"(-5, 5)","(-10, -5)",107,mul,7.63032E-13,1.04320E-10,0,ext
23,99,64000,nalu_minimal_arith,nalu__paperv,exponential,0.8,0.5,102,add,6.11847E-07,8.87755E-07,0,ext
24,99,64000,nalu_minimal_arith,nalui2,uniform,"(-1, 1)","(-10, -5)",102,mul,3.68101E-16,1.04413E-10,0,ext
25,99,64000,nalu_minimal_arith,nalui2,exponential,0.2,0.5,108,add,3.51282E-16,2.55942E-15,0,ext
26,99,64000,nalu_minimal_arith,nalui1,exponential,0.2,0.5,108,add,5.36936E-02,4.24907E-01,0,ext
27,99,64000,nalu_minimal_arith,nalu__paperv,exponential,0.2,0.5,105,div,6.68873E+00,5.57970E+04,9,ext
28,99,64000,nalu_minimal_arith,nalui2,exponential,0.8,0.5,101,mul,1.59727E-14,1.02813E-15,0,ext
29,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-3, 3)","(8, 10)",108,div,2.54615E+01,3.34265E+01,9,ext
30,99,64000,nalu_minimal_arith,nalui1,normal,"(-4, 2)","(8, 10)",101,add,5.45397E-15,8.98524E-13,0,ext
31,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-2, 4)","(8, 10)",107,sub,8.54532E-01,1.14400E-01,3,ext
32,99,64000,nalu_minimal_arith,nalu__paperv,exponential,0.2,0.5,103,sub,5.18676E-02,4.99009E-01,0,ext
33,99,64000,nalu_minimal_arith,nalu__paperm,uniform,"(-5, 5)","(-10, -5)",107,add,3.36984E+00,1.94916E+01,2,ext
34,99,64000,nalu_minimal_arith,nalui2,exponential,0.2,0.5,106,sub,1.47653E-16,1.28888E-15,0,ext
35,99,64000,nalu_minimal_arith,nalui2,normal,"(-2, 4)","(8, 10)",102,sub,2.94827E-15,1.52052E-13,0,ext
36,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.2,0.5,108,mul,1.89428E-06,2.84850E-07,0,ext
37,99,64000,nalu_minimal_arith,nalui1,normal,"(-2, 4)","(8, 10)",106,sub,4.05291E-05,4.56598E-05,9,ext
38,99,64000,nalu_minimal_arith,nalui1,exponential,0.2,0.5,105,div,2.40079E+01,7.25034E+04,9,ext
39,99,64000,nalu_minimal_arith,nalui1,normal,"(-2, 4)","(8, 10)",102,sub,2.94827E-15,1.52052E-13,3,ext
40,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-3, 3)","(8, 10)",107,sub,6.57328E-01,4.90944E+01,0,ext
41,99,64000,nalu_minimal_arith,nalu__paperv,uniform,"(-1, 1)","(-10, -5)",101,div,4.37370E+01,4.12913E+01,9,ext
42,99,64000,nalu_minimal_arith,nalui2,normal,"(-2, 4)","(8, 10)",103,mul,2.19601E-14,2.73060E-10,0,ext
43,99,64000,nalu_minimal_arith,nalui1,normal,"(-2, 4)","(8, 10)",109,add,8.58341E-15,9.14667E-13,0,ext
44,99,64000,nalu_minimal_arith,nalui1,normal,"(-3, 3)","(8, 10)",101,add,4.13428E-15,8.98524E-13,0,ext
45,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.2,0.5,109,sub,7.95245E-02,5.05184E-01,0,ext
46,99,64000,nalu_minimal_arith,nalui2,exponential,0.2,0.5,101,sub,3.02248E-16,1.27687E-15,0,ext
47,99,64000,nalu_minimal_arith,nalui2,uniform,"(-5, 5)","(-10, -5)",103,sub,3.54955E-14,8.64588E-14,0,ext
48,99,64000,nalu_minimal_arith,nalui1,normal,"(-3, 3)","(8, 10)",105,sub,4.67877E-15,1.51676E-13,0,ext
49,99,64000,nalu_minimal_arith,nalu__paperv,uniform,"(-5, 5)","(-10, -5)",107,add,3.36984E+00,1.94916E+01,2,ext
50,99,64000,nalu_minimal_arith,nalui1,normal,"(-2, 4)","(8, 10)",102,div,6.14926E-14,1.29994E-14,2,ext
51,99,64000,nalu_minimal_arith,nalu__paperv,uniform,"(-5, 5)","(-10, -5)",104,div,2.54532E+01,3.66732E+00,9,ext
52,99,64000,nalu_minimal_arith,nalu__paperm,uniform,"(-1, 1)","(-10, -5)",102,sub,2.87160E-01,3.53555E+01,0,ext
53,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.2,0.5,108,div,3.33292E+00,2.48011E+04,9,ext
54,99,64000,nalu_minimal_arith,nalu__paperv,exponential,0.2,0.5,105,mul,6.01483E-03,2.53109E-01,0,ext
55,99,64000,nalu_minimal_arith,nalu__paperm,uniform,"(-1, 1)","(-10, -5)",108,sub,2.59281E-01,3.54507E+01,0,ext
56,99,64000,nalu_minimal_arith,nalu__paperm,uniform,"(-5, 5)","(-10, -5)",105,add,2.74565E+00,1.94863E+01,1,ext
57,99,64000,nalu_minimal_arith,nalui1,exponential,0.8,0.5,104,sub,3.77791E-15,1.28263E-15,2,ext
58,99,64000,nalu_minimal_arith,nalu__paperm,uniform,"(-5, 5)","(-10, -5)",103,mul,3.42902E+01,2.86406E+03,9,ext
59,99,64000,nalu_minimal_arith,nalui1,uniform,"(-5, 5)","(-10, -5)",108,div,1.44416E+01,1.87019E+00,9,ext
60,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-4, 2)","(8, 10)",103,sub,6.35368E-01,3.03043E+01,3,ext
61,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.2,0.5,100,mul,1.55951E-06,2.95313E-07,0,ext
62,99,64000,nalu_minimal_arith,nalu__paperv,exponential,0.2,0.5,109,sub,7.95245E-02,5.05184E-01,0,ext
63,99,64000,nalu_minimal_arith,nalui1,exponential,0.8,0.5,109,add,1.13106E-14,2.51830E-15,0,ext
64,99,64000,nalu_minimal_arith,nalui1,uniform,"(-1, 1)","(-10, -5)",108,mul,2.70190E-16,1.04232E-10,0,ext
65,99,64000,nalu_minimal_arith,nalui2,normal,"(-2, 4)","(8, 10)",107,add,9.61080E-15,9.07676E-13,0,ext
66,99,64000,nalu_minimal_arith,nalu__paperm,uniform,"(-1, 1)","(-10, -5)",107,mul,3.45823E-01,1.04320E-10,0,ext
67,99,64000,nalu_minimal_arith,nalui2,exponential,0.8,0.5,108,add,5.62050E-15,2.55942E-15,0,ext
68,99,64000,nalu_minimal_arith,nalu__paperv,uniform,"(-1, 1)","(-10, -5)",107,add,1.95819E-01,4.14403E-13,0,ext
69,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-4, 2)","(8, 10)",109,mul,2.71113E-01,3.98685E+03,0,ext
70,99,64000,nalu_minimal_arith,nalu__paperv,exponential,0.8,0.5,105,sub,5.92960E-01,3.76418E-01,3,ext
