,epoch,steps,name,nalu,dist,param,extp,seed,op,trainloss,loss,reinits,exp
0,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.8,0.5,106,mul,4.41863E-14,1.75416E-14,0,ext
1,99,64000,nalu_minimal_arith,nalui1,normal,"(-3, 3)","(8, 10)",108,sub,3.40311E-15,1.51363E-13,0,ext
2,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-4, 2)","(8, 10)",108,div,2.73121E+02,1.75249E-02,9,ext
3,99,64000,nalu_minimal_arith,nalui1,exponential,0.2,0.5,103,div,2.11217E+01,2.56913E+06,9,ext
4,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-4, 2)","(8, 10)",108,add,5.84775E-15,3.98268E+03,0,ext
5,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-2, 4)","(8, 10)",108,div,1.17708E+06,2.19600E+01,9,ext
6,99,64000,nalu_minimal_arith,nalui2,exponential,0.8,0.5,100,sub,4.27669E-15,1.34964E-15,0,ext
7,99,64000,nalu_minimal_arith,nalui1,normal,"(-4, 2)","(8, 10)",102,div,3.89902E+01,6.77193E+01,9,ext
8,99,64000,nalu_minimal_arith,nalui2,uniform,"(-5, 5)","(-10, -5)",100,sub,2.49198E-14,8.53319E-14,0,ext
9,99,64000,nalu_minimal_arith,nalu__paperm,uniform,"(-5, 5)","(-10, -5)",109,div,2.49843E+01,2.08254E+00,9,ext
10,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-2, 4)","(8, 10)",105,div,7.29065E+02,7.93235E-01,9,ext
11,99,64000,nalu_minimal_arith,nalui1,normal,"(-3, 3)","(8, 10)",109,add,3.63251E-15,8.99604E-13,0,ext
12,99,64000,nalu_minimal_arith,nalui2,normal,"(-3, 3)","(8, 10)",101,add,3.31549E-15,9.22739E-13,0,ext
13,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.2,0.5,107,mul,2.59289E-15,1.65688E-14,0,ext
14,99,64000,nalu_minimal_arith,nalui2,normal,"(-3, 3)","(8, 10)",104,add,2.83195E-15,9.10688E-13,0,ext
15,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-2, 4)","(8, 10)",101,add,5.75671E-15,9.22739E-13,0,ext
16,99,64000,nalu_minimal_arith,nalui2,normal,"(-2, 4)","(8, 10)",105,div,1.49825E-04,5.83995E-09,2,ext
17,99,64000,nalu_minimal_arith,nalui2,normal,"(-2, 4)","(8, 10)",105,sub,6.28707E-15,1.53776E-13,0,ext
18,99,64000,nalu_minimal_arith,nalui1,normal,"(-2, 4)","(8, 10)",102,mul,2.97550E-14,2.73162E-10,0,ext
