,epoch,steps,name,nalu,dist,param,extp,seed,op,trainloss,loss,reinits,exp
0,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-3, 3)","(8, 10)",104,add,5.24811E-01,7.59614E-01,0,int
1,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-2, 4)","(8, 10)",100,div,3.25800E+02,1.39488E+04,9,int
2,99,64000,nalu_minimal_arith,nalui1,normal,"(-2, 4)","(8, 10)",104,add,1.77081E-14,1.01364E-14,0,int
3,99,64000,nalu_minimal_arith,nalui2,normal,"(-4, 2)","(8, 10)",105,div,1.98210E+01,8.42469E+04,9,int
4,99,64000,nalu_minimal_arith,nalu__paperv,uniform,"(-5, 5)","(-10, -5)",108,sub,1.06236E+01,3.04530E+01,8,int
5,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.8,0.5,108,mul,3.90608E-14,4.71886E-14,0,int
6,99,64000,nalu_minimal_arith,nalu__paperm,uniform,"(-5, 5)","(-10, -5)",103,div,1.10565E+02,1.53222E+05,9,int
7,99,64000,nalu_minimal_arith,nalui1,normal,"(-4, 2)","(8, 10)",106,div,1.73715E+01,1.13040E+06,9,int
8,99,64000,nalu_minimal_arith,nalui1,normal,"(-3, 3)","(8, 10)",105,div,5.67059E+02,1.40787E+08,9,int
9,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-2, 4)","(8, 10)",109,add,5.97807E-15,1.26275E-03,0,int
10,99,64000,nalu_minimal_arith,nalui1,normal,"(-3, 3)","(8, 10)",103,mul,3.15575E-15,3.70919E-15,0,int
11,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-4, 2)","(8, 10)",102,mul,4.32682E-01,7.60515E-01,0,int
12,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.2,0.5,102,add,3.59314E-02,3.86316E-02,0,int
13,99,64000,nalu_minimal_arith,nalu__paperv,uniform,"(-1, 1)","(-10, -5)",102,mul,1.81735E-01,1.88288E-01,0,int
14,99,64000,nalu_minimal_arith,nalu__paperv,exponential,0.8,0.5,105,add,5.22052E-01,5.29472E-01,0,int
15,99,64000,nalu_minimal_arith,nalu__paperm,uniform,"(-1, 1)","(-10, -5)",108,mul,1.95412E-01,1.85923E-01,0,int
