       fig   fim   fiw  fsg  fsm  fsg   op          loss
1821   0.0  -1.0  -1.0  0.1  0.1  0.1  ADD  7.614767e-11
1055   1.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.542379e-10
2737   0.0  -1.0   1.0  0.1  0.1  0.1  ADD  1.760556e-10
3857   1.0  -1.0   1.0  0.1  0.1  0.1  ADD  1.886716e-10
924    1.0  -1.0   1.0  0.5  0.5  0.5  ADD  1.907658e-10
2310   1.0  -1.0   1.0  0.1  0.1  0.1  ADD  1.982554e-10
2175   1.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.021904e-10
1452   1.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.022645e-10
3958   0.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.030061e-10
2784   1.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.038223e-10
621    1.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.050985e-10
3376   0.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.056674e-10
3972   0.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.068648e-10
2682   1.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.077967e-10
3746   1.0  -1.0   1.0  0.5  0.5  0.5  ADD  2.081492e-10
2616   0.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.082042e-10
3611   1.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.088136e-10
557    0.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.093234e-10
1951   0.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.118211e-10
3225   0.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.119817e-10
1763   1.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.130226e-10
1247   1.0  -1.0   1.0  0.5  0.5  0.5  ADD  2.151674e-10
825    0.0  -1.0   1.0  0.5  0.5  0.5  ADD  2.163957e-10
797    1.0  -1.0   1.0  0.1  0.1  0.1  ADD  2.167344e-10
126    0.0  -1.0   1.0  0.5  0.5  0.5  ADD  2.168519e-10
