,act,nalu,arch,lossf,lr,epoch,batch,h1,h2,seed,exp,op,init,loss,cost,fpref,fposop,flr,fmaxstep,fbatch,fcell,farch,fact,floss,fh1,fh2,fseed,fsr,fmean,fstd,fig,fim,fiw,fsg,fsm,fsw,flwt,fwcext,fname
0,none,NALUi,nalu,rsme,0.01,200,64,2,1,118,int,SUB,1.0-1.0,158.19849,"158.19849
",results/nalu,orgSUB,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,118,False,1.0,1.0,-1.0,1.0,0.0,0.1,0.1,0.1,False,True.int.csv,results/nalu_orgSUB_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_118_False_1.0-1.0_-1.0-1.0-0.0_0.1-0.1-0.1_False_True.int.csv
1,none,NALUi,nalu,rsme,0.01,200,64,2,1,101,ext,ADD,1.0-1.0,7100.712,"7100.712
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,101,False,1.0,1.0,-1.0,1.0,-1.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_101_False_1.0-1.0_-1.0-1.0--1.0_0.1-0.1-0.1_False_True.ext.csv
2,none,NALUi,nalu,rsme,0.01,200,64,2,1,109,ext,DIV,1.0-1.0,919799330000.0,"919799330000.0
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,109,False,1.0,1.0,0.0,1.0,-1.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_109_False_1.0-1.0_0.0-1.0--1.0_0.1-0.1-0.1_False_True.ext.csv
3,none,NALUi,nalu,rsme,0.01,200,64,2,1,106,int,SUB,1.0-1.0,0.00051895203,"0.00051895203
",results/nalu,orgSUB,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,106,False,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,False,True.int.csv,results/nalu_orgSUB_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_106_False_1.0-1.0_0.0-1.0-0.0_0.5-0.5-0.5_False_True.int.csv
4,none,NALUi,nalu,rsme,0.01,200,64,2,1,116,int,SUB,1.0-1.0,8.5065743e-10,"8.5065743e-10
",results/nalu,orgSUB,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,116,False,1.0,1.0,0.0,0.0,1.0,0.1,0.1,0.1,False,True.int.csv,results/nalu_orgSUB_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_116_False_1.0-1.0_0.0-0.0-1.0_0.1-0.1-0.1_False_True.int.csv
5,none,NALUi,nalu,rsme,0.01,200,64,2,1,117,ext,ADD,1.0-1.0,8000.2505,"8000.2505
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,117,False,1.0,1.0,0.0,1.0,-1.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_117_False_1.0-1.0_0.0-1.0--1.0_0.1-0.1-0.1_False_True.ext.csv
6,none,NALUi,nalu,rsme,0.01,200,64,2,1,116,ext,DIV,1.0-1.0,7953.665,"7953.665
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,116,False,1.0,1.0,-1.0,-1.0,1.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_116_False_1.0-1.0_-1.0--1.0-1.0_0.5-0.5-0.5_False_True.ext.csv
7,none,NALUi,nalu,rsme,0.01,200,64,2,1,113,ext,MUL,1.0-1.0,15000265.0,"15000265.0
",results/nalu,orgMUL,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,113,False,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgMUL_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_113_False_1.0-1.0_1.0-0.0-0.0_0.5-0.5-0.5_False_True.ext.csv
8,none,NALUi,nalu,rsme,0.01,200,64,2,1,110,int,SUB,1.0-1.0,55.80273,"55.80273
",results/nalu,orgSUB,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,110,False,1.0,1.0,1.0,1.0,-1.0,0.1,0.1,0.1,False,True.int.csv,results/nalu_orgSUB_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_110_False_1.0-1.0_1.0-1.0--1.0_0.1-0.1-0.1_False_True.int.csv
9,none,NALUi,nalu,rsme,0.01,200,64,2,1,101,int,DIV,1.0-1.0,7702620000.0,"7702620000.0
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,101,False,1.0,1.0,1.0,0.0,-1.0,0.5,0.5,0.5,False,True.int.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_101_False_1.0-1.0_1.0-0.0--1.0_0.5-0.5-0.5_False_True.int.csv
10,none,NALUi,nalu,rsme,0.01,200,64,2,1,111,int,DIV,1.0-1.0,4776.0884,"4776.0884
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,111,False,1.0,1.0,0.0,1.0,-1.0,0.5,0.5,0.5,False,True.int.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_111_False_1.0-1.0_0.0-1.0--1.0_0.5-0.5-0.5_False_True.int.csv
11,none,NALUi,nalu,rsme,0.01,200,64,2,1,107,ext,DIV,1.0-1.0,5009.508,"5009.508
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,107,False,1.0,1.0,0.0,-1.0,0.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_107_False_1.0-1.0_0.0--1.0-0.0_0.1-0.1-0.1_False_True.ext.csv
