,epoch,steps,name,nalu,dist,param,extp,seed,op,trainloss,loss,reinits,exp
0,99,64000,nalu_simple_func,nalui1,uniform,"(-3, 3)","(-5, -3)",108,div,9.84446E+03,3.07739E+04,9,int
1,99,64000,nalu_simple_func,nalui2,uniform,"(-3, 3)","(-5, -3)",109,mul,6.57748E-10,4.29993E-10,0,int
2,99,64000,nalu_simple_func,nalu__paperm,normal,"(-3, 3)","(3, 4)",103,div,5.64424E+02,6.51654E+04,5,int
3,99,64000,nalu_simple_func,nalu__paperv,normal,"(-3, 3)","(3, 4)",105,sub,2.87874E+01,4.19049E+01,3,int
4,99,64000,nalu_simple_func,nalui2,uniform,"(-3, 3)","(-5, -3)",106,mul,2.07798E-10,4.72199E-10,0,int
5,99,64000,nalu_simple_func,nalu__paperv,uniform,"(-3, 3)","(-5, -3)",102,sub,1.41861E+02,2.07361E+02,9,int
6,99,64000,nalu_simple_func,nalui2,normal,"(-3, 3)","(3, 4)",107,div,2.16419E+02,6.31370E+04,9,int
7,99,64000,nalu_simple_func,nalu__paperv,normal,"(-3, 3)","(3, 4)",102,div,7.30385E+02,7.07944E+05,2,int
8,99,64000,nalu_simple_func,nalui1,uniform,"(-3, 3)","(-5, -3)",103,add,1.67266E-12,1.86714E-12,0,int
9,99,64000,nalu_simple_func,nalui1,normal,"(-3, 3)","(3, 4)",107,div,2.12339E+02,3.31739E+04,9,int
10,99,64000,nalu_simple_func,nalu__paperv,uniform,"(-3, 3)","(-5, -3)",107,mul,1.01955E+04,2.26417E+13,9,int
11,99,64000,nalu_simple_func,nalui2,uniform,"(-3, 3)","(-5, -3)",102,mul,2.43509E-10,3.76730E-10,0,int
12,99,64000,nalu_simple_func,nalui2,normal,"(-3, 3)","(3, 4)",103,div,1.41540E+03,6.27297E+05,9,int
13,99,64000,nalu_simple_func,nalu__paperv,normal,"(-3, 3)","(3, 4)",104,sub,3.69354E+01,9.67232E+02,2,int
14,99,64000,nalu_simple_func,nalui1,uniform,"(-3, 3)","(-5, -3)",108,add,2.34235E-12,1.72736E-12,0,int
15,99,64000,nalu_simple_func,nalui2,normal,"(-3, 3)","(3, 4)",106,div,1.00056E+02,1.95959E+05,9,int
16,99,64000,nalu_simple_func,nalui2,normal,"(-3, 3)","(3, 4)",107,sub,5.20264E-13,5.60542E-13,0,int
17,99,64000,nalu_simple_func,nalui1,normal,"(-3, 3)","(3, 4)",102,sub,7.00523E-13,5.67943E-13,0,int
18,99,64000,nalu_simple_func,nalui1,normal,"(-3, 3)","(3, 4)",108,mul,2.01324E-11,3.77412E-11,0,int
19,99,64000,nalu_simple_func,nalui1,normal,"(-3, 3)","(3, 4)",108,add,5.44315E-13,6.66286E-13,0,int
20,99,64000,nalu_simple_func,nalui1,uniform,"(-3, 3)","(-5, -3)",104,mul,3.83761E+03,5.85599E+03,9,int
21,99,64000,nalu_simple_func,nalui2,normal,"(-3, 3)","(3, 4)",105,mul,4.39246E-11,5.55400E-11,0,int
22,99,64000,nalu_simple_func,nalu__paperv,uniform,"(-3, 3)","(-5, -3)",102,mul,1.53377E+04,2.41009E+08,7,int
23,99,64000,nalu_simple_func,nalu__paperm,uniform,"(-3, 3)","(-5, -3)",102,sub,2.08948E+02,3.74555E+02,9,int
24,99,64000,nalu_simple_func,nalui1,normal,"(-3, 3)","(3, 4)",105,div,1.80313E+01,6.60940E+06,9,int
